fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12311998,APD.N,1796.6,1568.588662,0.033881757,4813.8,9172.17764
12311999,APD.N,1938.6,1623.125106,0.030913613,5146.6,7696.042753
12312000,APD.N,2085.4,1713.593228,0.036878715,5333.7,9401.512831
12312001,APD.N,2009.4,1757.431401,0.046643211,4860.3,10657.96795
12312002,APD.N,1906.1,1705.179428,0.025586574,4850.2,9713.628837
12312003,APD.N,2002.2,1861.27859,0.022460884,5502.9,12006.45591
12312004,APD.N,2164.9,2007.371704,0.022625518,5427.5,13177.15357
12312005,APD.N,2478.8,2088.803179,0.020731407,5682.2,13146.51084
12312006,APD.N,2357.4,2008.619079,0.019477849,6078.7,15246.32343
12312007,APD.N,2662.1,2198.067178,0.022967049,7071,21243.59999
12312008,APD.N,2911.2,2326.797028,0.021878883,7404.4,10535.85509
12312009,APD.N,2400.4,2185.360025,0.015754837,8099.1,17187.87607
12312010,APD.N,2535.9,2169.309474,0.016251937,7808.3,19504.46706
12312011,APD.N,2812.3,2257.900667,0.014056513,8352,17934.37412
12312012,APD.N,2873.1,2317.79095,0.012855128,9926,17444.62469
12312013,APD.N,2775.5,2497.739801,0.013799949,10275.4,23660.79497
12312014,APD.N,3374.2,2524.708912,0.013279174,9970.5,30904.74551
12312015,APD.N,3345.5,2263.16227,0.010328129,9953.4,28058.26808
12312016,APD.N,3466.3,2244.566242,0.011150973,10815.2,31271.29733
12312017,APD.N,2409.4,2333.989661,0.015202193,8281.7,35903.52355
12311998,ALB.N,247.781,549.669,0.009240327,486.13,1569.115
12311999,ALB.N,278.115,508.2187902,0.0180765,463.53,886.4555925
12312000,ALB.N,264.119,462.9666519,0.014183156,422.896,1134.219884
12312001,ALB.N,248.315,421.7125448,0.010158357,544.97,1091.9568
12312002,ALB.N,261.517,401.295131,0.008098252,626.061,1186.139505
12312003,ALB.N,272.7,377.8116505,0.007157788,751.07,1232.9061
12312004,ALB.N,366.642,403.9823245,0.010020966,1731.37,1612.677645
12312005,ALB.N,430.558,466.9902336,0.025822857,1625.343,1787.911707
12312006,ALB.N,658.114,465.9466196,0.030056005,1462.736,3409.338132
12312007,ALB.N,529.662,448.44257,0.025413166,1508.352,3952.97595
12312008,ALB.N,620.465,441.4210434,0.021736853,1756.234,2034.046845
12312009,ALB.N,595.737,370.0542024,0.016192444,1518.239,3334.401818
12312010,ALB.N,631.457,419.2930205,0.016034942,1592.335,5107.826029
12312011,ALB.N,885.003,504.5041367,0.024638737,1524.997,4572.081634
12312012,ALB.N,830.022,437.0979308,0.021789923,1505.283,5544.823435
12312013,ALB.N,622.607,275.7077974,0.017132812,1842.021,5159.901056
12312014,ALB.N,889.102,473.5895976,0.01107467,3734.468,4705.395522
12312015,ALB.N,814.4,522.8582705,0.02473453,6196.641,6284.498656
12312016,ALB.N,1210.815,539.4295879,0.022981067,4218.603,9681.928829
12311998,AVY.N,1227.3,1442.987268,0.026426335,1309.3,2478.707875
12311999,AVY.N,1313.6,1468.518824,0.024739145,1782.6,8211.232601
12312000,AVY.N,1316,1439.034398,0.02928915,1871,6055.906884
12312001,AVY.N,1239.8,1362.157242,0.025603474,1980.2,6212.139982
