fyear,ticker,firmname,industry,sector,statevariable,cash,fixedcosts,couponrate,liabilities,equityobserved
12311998,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,1796.6,61.5,1568.588662,0.033881757,4813.8,9172.17764
12311999,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,1938.6,61.6,1623.125106,0.030913613,5146.6,7696.042753
12312000,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2085.4,94.1,1713.593228,0.036878715,5333.7,9401.512831
12312001,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2009.4,66.2,1757.431401,0.046643211,4860.3,10657.96795
12312002,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,1906.1,253.7,1705.179428,0.025586574,4850.2,9713.628837
12312003,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2002.2,76.2,1861.27859,0.022460884,5502.9,12006.45591
12312004,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2164.9,146.3,2007.371704,0.022625518,5427.5,13177.15357
12312005,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2478.8,55.8,2088.803179,0.020731407,5682.2,13146.51084
12312006,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2357.4,35.2,2008.619079,0.019477849,6078.7,15246.32343
12312007,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2662.1,40.5,2198.067178,0.022967049,7071,21243.59999
12312008,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2911.2,103.5,2326.797028,0.021878883,7404.4,10535.85509
12312009,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2400.4,488.2,2185.360025,0.015754837,8099.1,17187.87607
12312010,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2535.9,374.3,2169.309474,0.016251937,7808.3,19504.46706
12312011,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2812.3,421.4,2257.900667,0.014056513,8352,17934.37412
12312012,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2873.1,454.4,2317.79095,0.012855128,9926,17444.62469
12312013,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2775.5,450.4,2497.739801,0.013799949,10275.4,23660.79497
12312014,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,3374.2,336.6,2524.708912,0.013279174,9970.5,30904.74551
12312015,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,3345.5,206.4,2263.16227,0.010328129,9953.4,28058.26808
12312016,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,3466.3,1293.2,2244.566242,0.011150973,10815.2,31271.29733
12312017,APD.N,Air Products and Chemicals Inc,Commodity Chemicals,Basic Materials,2409.4,3677.6,2333.989661,0.015202193,8281.7,35903.52355
12311998,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,247.781,21.18,549.669,0.009240327,486.13,1569.115
12311999,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,278.115,48.621,508.2187902,0.0180765,463.53,886.4555925
12312000,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,264.119,19.3,462.9666519,0.014183156,422.896,1134.219884
12312001,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,248.315,30.585,421.7125448,0.010158357,544.97,1091.9568
12312002,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,261.517,47.784,401.295131,0.008098252,626.061,1186.139505
12312003,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,272.7,35.173,377.8116505,0.007157788,751.07,1232.9061
12312004,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,366.642,46.39,403.9823245,0.010020966,1731.37,1612.677645
12312005,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,430.558,58.57,466.9902336,0.025822857,1625.343,1787.911707
12312006,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,658.114,149.499,465.9466196,0.030056005,1462.736,3409.338132
12312007,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,529.662,130.551,448.44257,0.025413166,1508.352,3952.97595
12312008,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,620.465,253.303,441.4210434,0.021736853,1756.234,2034.046845
12312009,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,595.737,308.791,370.0542024,0.016192444,1518.239,3334.401818
12312010,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,631.457,529.65,419.2930205,0.016034942,1592.335,5107.826029
12312011,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,885.003,469.416,504.5041367,0.024638737,1524.997,4572.081634
12312012,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,830.022,477.696,437.0979308,0.021789923,1505.283,5544.823435
12312013,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,622.607,477.239,275.7077974,0.017132812,1842.021,5159.901056
12312014,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,889.102,2489.768,473.5895976,0.01107467,3734.468,4705.395522
12312015,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,814.521,213.734,522.8582705,0.02473453,6196.641,6284.498656
12312016,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,1212.936,2269.756,539.4295879,0.022981067,4218.603,9681.928829
12312017,ALB.N,Albemarle Corp,Commodity Chemicals,Basic Materials,857.23,1137.303,608.8740373,0.02932819,3933.076,14131.28881
12311998,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1227.3,18.5,1442.987268,0.026426335,1309.3,2478.707875
12311999,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1313.6,6.9,1468.518824,0.024739145,1782.6,8211.232601
12312000,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1316,11.4,1439.034398,0.02928915,1871,6055.906884
12312001,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1239.8,19.1,1362.157242,0.025603474,1980.2,6212.139982
12312002,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1460.2,22.8,1396.342263,0.017218798,2596,6707.085711
12312003,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1433.2,29.5,1494.473364,0.020933057,2799.4,6188.518756
12312004,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1682.2,84.8,1540.461004,0.020872799,2850.6,6624.223951
12312005,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1487.4,98.5,1389.439971,0.021508172,2692,6105.249939
12312006,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1577.4,58.5,1381.367335,0.021113098,2628.7,7456.711424
12312007,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1583.2,71.5,1372.120579,0.02472153,4255.4,5658.389446
12312008,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1773.6,105.5,1497.99588,0.02702009,4285.7,3220.632
12312009,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1742,138.1,1414.90654,0.023322894,3640.2,4114.052716
12312010,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1741.9,127.5,1476.781549,0.022092249,3453.7,4632.730303
12312011,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1543.6,178,1323.864264,0.022720415,3314.2,3045.733631
12312012,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1641,235.4,1313.511203,0.021932811,3524.4,3477.78976
12312013,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1462.4,351.6,1312.590941,0.020555413,3118.4,4849.148909
12312014,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1494,207.2,1275.783094,0.019158709,3309.2,4726.322578
12312015,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1550.5,158.8,1219.677392,0.019128788,3168,5708.468113
12312016,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1648.9,195.1,1194.472832,0.017257772,3470.9,6248.989239
12312017,AVY.N,Avery Dennison Corp,Non-Paper Containers & Packaging,Basic Materials,1700,224.4,1169.776894,0.015400787,4090.7,10111.85723
12311998,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,601.7,34,532.1959618,0.036864272,2208.1,1395.174935
12311999,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,571.7,35.8,596.0673708,0.055008657,2021.5,1174.049494
12312000,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,427.3,25.6,594.4523534,0.050089629,1952.5,1302.354957
12312001,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,556.7,83.1,593.3715618,0.050172241,1799.8,1937.374496
12312002,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,698.5,259.2,618.0464786,0.020804095,3633.9,2909.016208
12312003,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,737.4,36.5,760.1994504,0.042757095,3255.6,3357.193221
12312004,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,908.4,198.7,774.8537225,0.03063787,3384.7,4952.349824
12312005,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,931.1,61,790.8334747,0.039537539,3503,4132.540693
12312006,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,823,151.5,856.9638594,0.028751738,4674.5,4542.460812
12312007,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1150.6,151.6,930.4710402,0.032905709,4677,4522.43997
12312008,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1024.7,127.4,868.1822329,0.026072632,5281.4,3933.990614
12312009,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,985.9,210.6,916.225748,0.023892524,4905.3,4865.132907
12312010,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1021.4,152,1015.931034,0.028351298,5269.6,6010.216354
12312011,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1507.7,165.8,1089.528724,0.03011885,5906.6,5807.981066
12312012,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1401,174.1,1099.350682,0.028920236,6217.1,6884.873644
12312013,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1437.2,416,1171.930056,0.029276747,6404.4,7471.766403
12312014,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1620,191.4,1204.301322,0.026629182,6331.4,9333.969332
12312015,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,1601.2,224,1215.300349,0.01697487,8436,9914.642985
12312016,BLL.N,Ball Corp,Non-Paper Containers & Packaging,Basic Materials,883,597,1334.764442,0.018128562,12632,13122.67448
